Student Name,Age,Gender,Institute Name,Course Name,class_Type,Duration,Assignments submitted,projects submitted,Mock_Test,Attendance(in %),Certification obtained,Final score(in %),Placement status
Aryan Venkatesh,24,Male ,CodeMasters,Cybersecurity,Offline,7 months,5,1,89,92,No Certification,66,Yes
Vivaan Kulkarni,24,Male,CyberSecure Institute,AI &ML,Online,6 months,7,1,35,83,No Certification,87,No
Tanvi Deshmukh,24,Female ,Tech Academy,Robotics,Offline,5 months,5,1,77,99,No Certification,93,Yes
Aryan Joshi,25,Female ,SocialPrachar,Ethical Hacking,Offline,6 months,10,2,81,83,Harvard University Professional Certificate,92,No
Suman Chopra,23,Female ,SocialPrachar,Cloud Computing,Offline,7 months,7,3,39,87,AWS Specialization,99,No
Kunal Deshmukh,26,Male,SocialPrachar,Data Analytics,Offline,8 months,5,1,82,82,IIT Madras Standard Course,66,No
Priya Mehta,24,Male,Tech Academy,Data Science,Offline,6 months,5,3,99,100,No Certification,77,No
Aditya Kulkarni,25,Female ,CyberSecure Institute,Robotics,Offline,5 months,6,2,91,97,NASSCOM Certification,88,No
Priya Chopra,22,Female ,CodeMasters,Web Development,Online,5 months,5,1,35,82,No Certification,81,No
Yash Chopra,25,Female ,SocialPrachar,Ethical Hacking,Offline,6 months ,5,3,38,72,IIT Madras Standard Course,66,Yes
Kunal Gupta,26,Male,CyberSecure Institute,Data Science,Offline,7 months,6,2,10,87,No Certification,67,No
Ananya Reddy,22,Male ,SocialPrachar,Data Analytics,Online,6 months,10,2,99,71,NASSCOM Certification,60,No
Jhanvi Nair,25,Male,CyberSecure Institute,Web Development,Online,5 months,9,3,86,97,No Certification,68,Yes
Harsh Reddy,23,Female ,Tech Academy,Web Development,Offline,6 months,10,1,28,100,No Certification,77,No
Nirav Naidu,22,Female ,CyberSecure Institute,Web Development,Offline,7 months,8,3,76,85,NASSCOM Certification,100,Yes
Ananya Gupta,24,Female ,SocialPrachar,Software Testing,Offline,8 months,9,3,68,85,Harvard University Professional Certificate,67,No
Gayatri Gupta,25,Male,SocialPrachar,Web Development,Online,6 months,10,2,15,94,No Certification,85,No
Neha Malhotra,22,Male,SocialPrachar,Cloud Computing,Online,5 months,,2,66,86,No Certification,96,Yes
Om Chopra,22,Female ,CodeMasters,AI &ML,Offline,5 months,5,1,73,82,IIT Madras Standard Course,80,Yes
Meera Malhotra,22,Female ,Tech Academy,Python Programming,Online,6 months ,7,2,95,88,IIT Madras Standard Course,88,No
Riya Bhat,22,Female ,SocialPrachar,AI &ML,Offline,7 months,6,2,46,80,NASSCOM Certification,66,Yes
Arjun Gowda,22,Male,SocialPrachar,Software Testing,Online,6 months,6,3,43,98,NASSCOM Certification,84,Yes
Radha Tripathi,22,Male ,CodeMasters,Cybersecurity,Offline,5 months,10,2,72,74,IIT Madras Standard Course,86,No
Samar Nair,22,Male,SocialPrachar,Ethical Hacking,Online,6 months,8,1,26,96,NASSCOM Certification,95,No
Rohan Gowda,23,Female ,SocialPrachar,AI &ML,Offline,7 months,9,3,65,70,NASSCOM Certification,66,Yes
Priya Chopra,25,Female ,Tech Academy,Web Development,Online,8 months,9,3,99,74,Harvard University Professional Certificate,77,No
Radha Mehta,21,Female ,Tech Academy,Data Science,Offline,6 months,6,3,45,72,Harvard University Professional Certificate,68,No
Krishna Reddy,22,Male,CodeMasters,Data Analytics,Offline,5 months,10,1,81,80,IIT Madras Standard Course,93,No
Krishna Malhotra,24,Male,Tech Academy,Software Testing,Online,5 months,10,2,40,85,AWS Specialization,88,No
Ishita Malhotra,24,Female ,CyberSecure Institute,Cybersecurity,Online,6 months ,7,1,37,70,No Certification,99,No
Aadhya Malhotra,24,Female ,SocialPrachar,Web Development,Offline,7 months,9,3,94,98,No Certification,85,No
Rohan Joshi,25,Female ,SocialPrachar,Ethical Hacking,Offline,6 months,7,3,25,78,No Certification,63,Yes
Kabir Chopra,23,Male,SocialPrachar,Data Science,Offline,5 months,7,2,2,94,No Certification,61,No
Jhanvi Kapoor,26,Male ,CyberSecure Institute,Ethical Hacking,Online,6 months,6,2,25,74,No Certification,96,No
Dev Malhotra,24,Male,SocialPrachar,Software Testing,Online,7 months,5,1,17,91,AWS Specialization,97,Yes
Shruti Iyer,25,Female ,SocialPrachar,AI &ML,Offline,8 months,9,3,70,90,No Certification,70,Yes
Om Malhotra,22,Female ,SocialPrachar,Software Testing,Online,6 months,8,3,76,96,NASSCOM Certification,74,Yes
Samar Gupta,25,Female ,CyberSecure Institute,AI &ML,Online,5 months,6,1,58,80,No Certification,86,No
Diya Pillai,26,Male,Levelup,Cloud Computing,Offline,5 months,10,1,39,91,No Certification,76,No
Kabir Kapoor,22,Male,CyberSecure Institute,Data Science,Online,6 months ,8,3,100,76,Harvard University Professional Certificate,85,No
Dev Gowda,25,Female ,CyberSecure Institute,Data Science,Online,7 months,7,1,35,72,No Certification,97,No
Bhavna Mehta,23,Female ,CyberSecure Institute,Software Testing,Offline,6 months,9,3,,80,NASSCOM Certification,86,No
Jhanvi Kapoor,22,Female ,CodeMasters,Robotics,Online,5 months,9,1,5,70,No Certification,95,No
Shivansh Gupta,24,Male,Tech Academy,Python Programming,Offline,6 months,10,2,11,95,No Certification,69,Yes
Rudra Gowda,25,Male ,Levelup,Data Analytics,Offline,7 months,8,2,30,97,Harvard University Professional Certificate,70,No
Shivansh Naidu,22,Male,Tech Academy,Robotics,Offline,8 months,5,3,25,83,No Certification,87,Yes
Rohan Verma,22,Female ,Levelup,Robotics,Offline,6 months,10,3,40,99,No Certification,84,Yes
Om Reddy,22,Female ,CyberSecure Institute,Web Development,Offline,5 months,8,2,90,99,IIT Madras Standard Course,72,No
Jhanvi Pillai,22,Female ,CyberSecure Institute,Robotics,Offline,6 months,10,3,13,71,NASSCOM Certification,100,No
Yash Iyer,22,Male,Levelup,Robotics,Online,5 months,10,2,100,76,IIT Madras Standard Course,66,No
Rudra Sharma,22,Male,Levelup,Python Programming,Online,6 months,7,2,99,77,No Certification,88,No
Kavya Malhotra,22,Female ,CodeMasters,Robotics,Online,7 months,7,3,40,98,No Certification,97,Yes
Rudra Tripathi,23,Female ,Levelup,Web Development,Offline,8 months,6,1,10,93,NASSCOM Certification,78,No
Vikram Naidu,25,Female ,CodeMasters,Ethical Hacking,Online,6 months,9,1,16,72,No Certification,68,No
Rudra Tripathi,21,Male,CodeMasters,Robotics,Online,5 months,9,1,23,87,No Certification,82,No
Ishita Deshmukh,22,Male ,CodeMasters,AI &ML,Offline,,8,1,68,80,IIT Madras Standard Course,79,Yes
Yash Kulkarni,24,Male,SocialPrachar,Cybersecurity,Online,6 months ,6,3,19,100,No Certification,61,No
Arjun Deshmukh,24,Female ,SocialPrachar,Robotics,Offline,7 months,9,2,26,87,No Certification,79,No
Diya Venkatesh,24,Female ,CyberSecure Institute,Web Development,Online,6 months,10,1,64,79,No Certification,70,No
Sanya Gupta,25,Female ,CyberSecure Institute,AI &ML,Online,5 months,8,3,35,80,IIT Madras Standard Course,88,Yes
Arjun Chopra,23,Male,CyberSecure Institute,Robotics,Online,6 months,8,1,90,95,No Certification,73,Yes
Aditya Mehta,26,Male,Levelup,Data Analytics,Offline,7 months,7,3,34,75,AWS Specialization,79,No
Priya Pandey,24,Female ,SocialPrachar,Software Testing,Online,8 months,9,2,60,70,NASSCOM Certification,64,Yes
Gayatri Reddy,,Female ,CodeMasters,Web Development,Online,6 months,5,3,4,72,AWS Specialization,94,No
Arjun Pandey,22,Male,CodeMasters,Cloud Computing,Offline,5 months,8,1,43,96,No Certification,95,Yes
Rudra Iyer,25,Male ,SocialPrachar,AI &ML,Offline,5 months,7,3,86,73,NASSCOM Certification,94,No
Om Malhotra,26,Male,SocialPrachar,Ethical Hacking,Online,6 months ,,2,53,98,NASSCOM Certification,96,No
Isha Gowda,22,Female ,CodeMasters,Ethical Hacking,Offline,7 months,10,3,10,79,No Certification,62,No
Kunal Kulkarni,25,Female ,Levelup,Data Analytics,Online,6 months,9,3,61,73,Harvard University Professional Certificate,60,Yes
Rohan Tripathi,23,Female ,Levelup,Data Science,Online,5 months,6,3,77,83,No Certification,65,Yes
Krishna Iyer,22,Male,SocialPrachar,Web Development,Offline,6 months,6,2,91,95,AWS Specialization,70,No
Pooja Sharma,24,Male,CyberSecure Institute,Ethical Hacking,Online,7 months,5,3,88,82,Harvard University Professional Certificate,96,Yes
Tanvi Gupta,25,Female ,Levelup,Web Development,Online,8 months,10,3,62,84,NASSCOM Certification,67,No
Aryan Malhotra,22,Female ,CodeMasters,AI &ML,Offline,6 months,10,2,62,94,No Certification,81,No
Isha Gupta,22,Female ,CyberSecure Institute,Web Development,Online,5 months,5,3,74,70,AWS Specialization,98,Yes
Rudra Tripathi,22,Male,Tech Academy,Web Development,Online,5 months,7,3,45,78,No Certification,67,No
Arjun Iyer,22,Male ,Tech Academy,Python Programming,Offline,6 months ,8,1,57,77,No Certification,68,Yes
Tanvi Kulkarni,22,Male,CyberSecure Institute,Software Testing,Offline,7 months,5,2,50,100,NASSCOM Certification,78,Yes
Bhavna Joshi,22,Female ,CyberSecure Institute,Python Programming,Offline,6 months,8,2,23,74,No Certification,99,No
Rudra Kapoor,22,Female ,Tech Academy,AI &ML,Offline,5 months,10,1,31,74,No Certification,81,No
Nirav Reddy,23,Female ,CodeMasters,Robotics,Offline,6 months,8,2,84,78,No Certification,94,No
Rohan Tripathi,25,Male,Tech Academy,Python Programming,Offline,7 months,8,2,40,86,Harvard University Professional Certificate,81,Yes
Bhavna Gupta,21,Male,CodeMasters,Web Development,Online,8 months,10,2,24,95,NASSCOM Certification,92,Yes
Sanya Mehta,22,Female ,SocialPrachar,AI &ML,Offline,6 months,5,1,22,70,No Certification,65,Yes
Krishna Verma,24,Female ,SocialPrachar,Cybersecurity,Offline,5 months,6,1,33,100,No Certification,94,Yes
Isha Malhotra,24,Female ,Levelup,Software Testing,Offline,5 months,7,3,68,88,AWS Specialization,99,No
Suman Venkatesh,24,Male,CodeMasters,Data Analytics,Offline,6 months ,8,1,19,80,NASSCOM Certification,91,Yes
Jhanvi Chopra,25,Male ,SocialPrachar,Data Science,Online,7 months,9,2,21,100,No Certification,87,No
Sanya Bhat,23,Male,Levelup,Cloud Computing,Online,6 months,9,1,46,80,NASSCOM Certification,66,Yes
Priya Chopra,26,Female ,CodeMasters,Software Testing,Online,5 months,5,1,3,82,No Certification,61,Yes
Kabir Pandey,24,Female ,Levelup,Software Testing,Offline,6 months,6,2,32,75,No Certification,77,No
Aditya Mehta,25,Female ,SocialPrachar,Data Analytics,Offline,7 months,7,3,30,87,AWS Specialization,76,Yes
Arjun Pillai,22,Male,CodeMasters,Robotics,Offline,8 months,7,1,9,92,No Certification,61,Yes
Laksh Gupta,25,Male,CodeMasters,AI &ML,Offline,,5,3,78,98,IIT Madras Standard Course,80,No
Aadhya Venkatesh,26,Female ,Tech Academy,Cloud Computing,Online,5 months,5,2,16,100,No Certification,98,Yes
Riya Pandey,22,Female ,Tech Academy,Robotics,Online,6 months ,9,1,67,92,No Certification,61,No
Om Kapoor,25,Female ,CodeMasters,Data Science,Online,,7,2,24,76,IIT Madras Standard Course,74,No
Shivansh Mehta,23,Male,Levelup,Data Science,Offline,6 months,8,2,11,77,No Certification,97,No
Rudra Sharma,22,Male ,SocialPrachar,Robotics,Online,5 months,10,3,3,76,No Certification,72,Yes
Rohan Sharma,24,Male,SocialPrachar,Cybersecurity,Online,6 months,9,2,4,79,No Certification,81,No
Krishna Malhotra,25,Female ,CodeMasters,Data Analytics,Offline,7 months,9,3,52,97,IIT Madras Standard Course,81,No
Harsh Kulkarni,22,Female ,Levelup,Python Programming,Online,8 months,8,1,33,71,NASSCOM Certification,84,No
Shruti Deshmukh,22,Female ,Levelup,AI &ML,Offline,6 months,5,3,7,98,No Certification,71,Yes
Jhanvi Pillai,22,Male,Levelup,Python Programming,Online,5 months,5,2,78,96,NASSCOM Certification,94,No
Meera Joshi,22,Male,Naresh i technologies,Python Programming,Online,5 months,8,2,36,89,No Certification,93,No
Nirav Kapoor,22,Female ,CodeMasters,Web Development,Online,6 months ,8,2,26,77,No Certification,72,No
Yash Gupta,22,Female ,CyberSecure Institute,Cloud Computing,Online,7 months,6,1,100,96,IIT Madras Standard Course,70,No
Tanvi Gupta,22,Female ,CyberSecure Institute,Cybersecurity,Online,6 months,6,1,0,83,No Certification,89,No
Samar Kulkarni,23,Male,CodeMasters,Ethical Hacking,Offline,5 months,5,2,27,79,NASSCOM Certification,91,Yes
Shruti Chopra,25,Male ,Naresh i technologies,Software Testing,Online,6 months,6,1,4,71,NASSCOM Certification,98,No
Aarav Venkatesh,21,Male,Levelup,Web Development,Online,7 months,10,3,73,85,No Certification,95,No
Neha Verma,22,Female ,Tech Academy,Cloud Computing,Online,8 months,8,1,89,86,AWS Specialization,62,Yes
Vikram Bhat,24,Female ,Tech Academy,Ethical Hacking,Online,6 months,7,2,15,92,No Certification,97,Yes
Shruti Deshmukh,24,Female ,Tech Academy,Software Testing,Online,5 months,5,2,22,86,No Certification,75,Yes
Priya Reddy,24,Male,Levelup,Ethical Hacking,Online,5 months,9,2,88,97,Harvard University Professional Certificate,82,No
Isha Reddy,25,Male,Levelup,Ethical Hacking,Offline,6 months ,5,2,17,99,No Certification,68,No
Meera Nair,23,Female ,Tech Academy,Data Analytics,Offline,7 months,5,1,59,71,No Certification,65,Yes
Diya Reddy,26,Female ,Naresh i technologies,Web Development,Online,6 months,7,3,36,98,No Certification,92,No
Yash Iyer,24,Female ,Tech Academy,Software Testing,Online,5 months,8,3,93,70,NASSCOM Certification,71,Yes
Ishita Bhat,25,Male,Levelup,Python Programming,Online,6 months,8,3,42,99,No Certification,98,Yes
Laksh Iyer,22,Male ,CodeMasters,Cybersecurity,Offline,7 months,7,2,84,76,Harvard University Professional Certificate,98,Yes
Om Gowda,25,Male,Naresh i technologies,Ethical Hacking,Online,8 months,5,1,68,93,AWS Specialization,96,No
Rohan Sharma,26,Female ,Levelup,Robotics,Offline,6 months,6,3,59,70,IIT Madras Standard Course,71,Yes
Diya Venkatesh,22,Female ,Levelup,Data Science,Online,5 months,9,2,73,70,No Certification,98,Yes
Vivaan Mehta,25,Female ,Naresh i technologies,Data Analytics,Online,5 months,6,2,47,73,Harvard University Professional Certificate,82,Yes
Tanvi Pandey,23,Male,Levelup,Software Testing,Online,6 months ,6,2,41,71,No Certification,76,No
Meera Iyer,22,Male,Levelup,AI &ML,Online,7 months,5,3,94,88,IIT Madras Standard Course,96,No
Bhavna Tripathi,24,Female ,Naresh i technologies,Robotics,Online,6 months,7,3,85,83,IIT Madras Standard Course,88,Yes
Ananya Malhotra,25,Female ,Levelup,Robotics,Online,5 months,5,1,49,93,IIT Madras Standard Course,78,No
Vivaan Reddy,22,Female ,Naresh i technologies,Cloud Computing,Online,6 months,5,1,73,94,No Certification,77,No
Yash Naidu,22,Male,Levelup,Web Development,Online,7 months,9,3,30,73,Harvard University Professional Certificate,86,No
Pooja Joshi,22,Male ,Naresh i technologies,AI &ML,Offline,8 months,10,1,82,95,AWS Specialization,68,No
Aditya Joshi,22,Male,AI Hub,Python Programming,Online,6 months,7,2,77,74,No Certification,80,Yes
Ananya Malhotra,22,Female ,AI Hub,Data Analytics,Offline,5 months,10,3,11,71,No Certification,72,No
Bhavna Kapoor,22,Female ,Naresh i technologies,Web Development,Offline,5 months,9,3,63,77,No Certification,72,Yes
Harsh Naidu,22,Female ,AI Hub,Robotics,Online,6 months ,8,3,74,72,No Certification,80,Yes
Suman Gowda,23,Male,Levelup,Cloud Computing,Online,7 months,9,2,99,95,No Certification,67,No
Isha Sharma,25,Male,CodeMasters,Python Programming,Online,6 months,5,3,88,79,IIT Madras Standard Course,63,No
Meera Chopra,21,Female ,Tech Academy,Robotics,Online,5 months,5,2,80,88,NASSCOM Certification,71,No
Krishna Pandey,22,Female ,AI Hub,AI &ML,Offline,6 months,9,2,85,88,IIT Madras Standard Course,77,No
Shruti Tripathi,24,Female ,AI Hub,Data Science,Online,7 months,7,1,86,71,No Certification,99,No
Gayatri Bhat,24,Male,CodeMasters,Ethical Hacking,Online,8 months,5,3,0,90,No Certification,68,Yes
Rohan Mehta,24,Male ,Naresh i technologies,Cybersecurity,Offline,6 months,6,2,70,87,No Certification,98,No
Kavya Verma,25,Male,Naresh i technologies,Web Development,Offline,5 months,7,2,13,99,NASSCOM Certification,70,No
Aarohi Gupta,23,Female ,Tech Academy,Robotics,Online,7 months,5,2,30,100,IIT Madras Standard Course,81,Yes
Meera Gupta,26,Female ,AI Hub,Python Programming,Online,6 months,5,2,,70,No Certification,70,Yes
Laksh Pandey,24,Female ,CodeMasters,Data Analytics,Online,5 months,5,1,37,78,No Certification,74,No
Aarohi Pandey,25,Male,AI Hub,Cybersecurity,Online,6 months,6,3,23,91,NASSCOM Certification,84,Yes
Kabir Bhat,22,Male,Tech Academy,Data Science,Online,7 months,7,1,12,71,No Certification,91,Yes
Shruti Deshmukh,25,Female ,AI Hub,AI &ML,Offline,8 months,9,1,96,74,NASSCOM Certification,63,No
Kavya Bhat,26,Female ,AI Hub,Python Programming,Online,6 months,5,3,85,78,NASSCOM Certification,61,Yes
Samar Malhotra,22,Female ,Naresh i technologies,Data Science,Online,5 months,9,1,53,90,IIT Madras Standard Course,87,Yes
Shivansh Naidu,25,Male,CodeMasters,Python Programming,Online,5 months,5,2,32,77,NASSCOM Certification,99,No
Nirav Reddy,23,Male ,Naresh i technologies,Cybersecurity,Offline,6 months ,7,2,37,81,No Certification,68,Yes
Riya Pandey,22,Male,Levelup,Cloud Computing,Offline,7 months,6,2,93,97,IIT Madras Standard Course,94,No
Jhanvi Reddy,24,Female ,AI Hub,Web Development,Online,6 months,6,1,97,89,IIT Madras Standard Course,75,Yes
Aarohi Nair,25,Female ,Naresh i technologies,Cybersecurity,Online,5 months,10,1,87,83,Harvard University Professional Certificate,95,Yes
Aditya Chopra,22,Female ,CodeMasters,AI &ML,Offline,6 months,5,1,86,77,Harvard University Professional Certificate,90,No
Vikram Nair,22,Male,CodeMasters,Cloud Computing,Offline,7 months,10,3,50,96,IIT Madras Standard Course,61,No
Aditya Deshmukh,22,Male,Naresh i technologies,Robotics,Online,8 months,5,2,28,80,IIT Madras Standard Course,79,Yes
Sai Malhotra,22,Female ,CodeMasters,Ethical Hacking,Offline,6 months,5,1,81,87,No Certification,97,Yes
Aryan Kulkarni,22,Female ,Tech Academy,Cybersecurity,Offline,5 months,10,1,46,79,No Certification,74,No
Kavya Nair,22,Female ,Levelup,Software Testing,Online,5 months,5,3,38,82,No Certification,86,No
Isha Kulkarni,22,Male,Tech Academy,Python Programming,Offline,6 months ,10,3,83,90,Harvard University Professional Certificate,72,No
Sai Verma,23,Male ,Levelup,Software Testing,Offline,7 months,7,2,91,79,IIT Madras Standard Course,97,Yes
Vikram Gowda,25,Male,AI Hub,Data Science,Offline,6 months,5,1,99,81,NASSCOM Certification,89,No
Ishita Pandey,21,Female ,Tech Academy,Python Programming,Online,5 months,10,3,82,74,AWS Specialization,77,Yes
Samar Joshi,22,Female ,CodeMasters,Ethical Hacking,Online,6 months,10,1,26,96,No Certification,80,Yes
Riya Pillai,24,Female ,Tech Academy,Cybersecurity,Online,7 months,9,1,6,99,No Certification,84,No
Laksh Naidu,24,Male,Levelup,Ethical Hacking,Offline,8 months,8,1,12,88,AWS Specialization,81,No
Diya Reddy,24,Male,Tech Academy,Data Analytics,Offline,6 months,7,1,1,83,No Certification,96,No
Kavya Gowda,25,Female ,Tech Academy,AI &ML,Offline,5 months,5,1,17,79,No Certification,81,No
Vivaan Gupta,23,Female ,Levelup,Cloud Computing,Offline,5 months,6,2,22,100,No Certification,90,No
Aryan Deshmukh,26,Female ,AI Hub,Data Analytics,Offline,6 months ,10,2,100,84,No Certification,63,Yes
Riya Pillai,24,Male,Naresh i technologies,Python Programming,Offline,7 months,8,1,81,72,Harvard University Professional Certificate,92,Yes
Aryan Iyer,25,Male ,AI Hub,Cloud Computing,Offline,6 months,9,2,56,79,NASSCOM Certification,86,Yes
Rohan Gupta,22,Male,AI Hub,Cybersecurity,Online,5 months,6,3,77,74,AWS Specialization,85,No
Shivansh Deshmukh,25,Female ,AI Hub,Cybersecurity,Offline,6 months,5,3,28,87,No Certification,74,No
Priya Iyer,26,Female ,Levelup,Web Development,Online,7 months,10,2,81,84,Harvard University Professional Certificate,66,No
Yash Kulkarni,22,Female ,AI Hub,Ethical Hacking,Online,8 months,6,1,21,80,No Certification,79,Yes
Jhanvi Sharma,25,Male,Tech Academy,Data Science,Online,6 months,6,3,70,88,IIT Madras Standard Course,83,No
Dev Naidu,23,Male,SocialPrachar,Software Testing,Online,5 months,6,1,85,83,IIT Madras Standard Course,85,Yes
Ananya Kulkarni,22,Female ,SocialPrachar,Web Development,Online,5 months,10,3,6,78,No Certification,62,Yes
Nirav Gupta,24,Female ,SocialPrachar,AI &ML,Offline,6 months ,8,2,100,89,No Certification,70,Yes
Rudra Malhotra,25,Female ,AI Hub,Data Analytics,Offline,7 months,5,1,64,99,No Certification,82,No
Sanya Bhat,22,Male,Tech Academy,Robotics,Offline,6 months,8,3,88,95,IIT Madras Standard Course,82,Yes
Krishna Reddy,22,Male ,CodeMasters,Software Testing,Offline,5 months,10,3,97,75,AWS Specialization,70,Yes
Vikram Naidu,22,Male,Tech Academy,Cloud Computing,Online,6 months,6,3,15,73,No Certification,82,Yes
Aarav Pillai,22,Female ,AI Hub,Web Development,Online,7 months,6,3,85,77,NASSCOM Certification,70,No
Aditya Kapoor,22,Female ,Naresh i technologies,AI &ML,Online,8 months,10,1,7,71,No Certification,90,Yes
Suman Bhat,22,Female ,Tech Academy,Cloud Computing,Offline,6 months,10,2,76,75,IIT Madras Standard Course,90,No
Kabir Verma,22,Male,AI Hub,Cybersecurity,Offline,5 months,,1,32,85,Harvard University Professional Certificate,77,No
Shruti Gowda,23,Male,SocialPrachar,Cloud Computing,Offline,6 months ,8,3,4,77,AWS Specialization,85,Yes
Samar Gowda,25,Female ,Naresh i technologies,Robotics,Offline,7 months,10,1,76,81,AWS Specialization,64,Yes
Shivansh Kulkarni,21,Female ,Tech Academy,Robotics,Online,6 months,5,2,32,81,No Certification,76,No
Nirav Pandey,22,Female ,Tech Academy,Python Programming,Offline,5 months,8,3,71,94,IIT Madras Standard Course,71,Yes
Dev Reddy,24,Male,Naresh i technologies,Software Testing,Offline,6 months,7,2,85,79,NASSCOM Certification,100,No
Yash Joshi,24,Male ,Naresh i technologies,Ethical Hacking,Offline,7 months,7,3,100,74,AWS Specialization,65,Yes
Aarohi Joshi,24,Male,AI Hub,Data Analytics,Offline,8 months,7,2,97,86,No Certification,79,Yes
Meera Sharma,25,Female ,AI Hub,Data Science,Offline,6 months,8,3,51,84,Harvard University Professional Certificate,89,Yes
Nirav Tripathi,23,Female ,AI Hub,Data Analytics,Online,5 months,10,3,99,98,AWS Specialization,99,No
Aadhya Reddy,26,Female ,AI Hub,Robotics,Online,5 months,9,2,45,89,No Certification,92,No
Suman Iyer,24,Male,Tech Academy,Web Development,Offline,6 months ,8,3,16,93,No Certification,92,No
Aditya Venkatesh,25,Male,SocialPrachar,Data Science,Online,7 months,7,2,19,78,No Certification,74,Yes
Rudra Sharma,25,Female ,AI Hub,Web Development,Offline,6 months,5,2,11,98,IIT Madras Standard Course,89,No
Kavya Chopra,26,Female ,CodeMasters,Cloud Computing,Offline,5 months,5,3,75,85,AWS Specialization,94,No
Kavya Pandey,22,Female ,SocialPrachar,Robotics,Online,6 months,9,2,84,100,AWS Specialization,78,Yes
Sanya Mehta,25,Male,CodeMasters,Software Testing,Online,7 months,7,3,98,75,No Certification,61,Yes
Nirav Deshmukh,23,Male ,CodeMasters,Web Development,Online,8 months,5,1,55,87,No Certification,93,No
Riya Nair,22,Male,SocialPrachar,Robotics,Online,6 months,10,2,82,88,AWS Specialization,83,No
Aryan Mehta,24,Female ,CodeMasters,Data Science,Offline,5 months,10,2,68,70,No Certification,84,Yes
Krishna Reddy,25,Female ,CodeMasters,Data Analytics,Online,5 months,7,3,39,79,AWS Specialization,99,Yes
Pooja Chopra,22,Female ,CodeMasters,Cloud Computing,Online,6 months ,9,3,68,85,No Certification,90,No
Sai Kapoor,22,Male,SocialPrachar,Web Development,Online,7 months,10,2,44,80,No Certification,74,No
Diya Deshmukh,22,Male,Naresh i technologies,Cloud Computing,Online,6 months,7,3,66,83,No Certification,65,No
Ishita Sharma,,Female ,CodeMasters,Data Analytics,Online,5 months,5,2,27,75,Harvard University Professional Certificate,82,Yes
Isha Reddy,22,Female ,AI Hub,Cybersecurity,Offline,6 months,7,1,11,73,IIT Madras Standard Course,74,No
Priya Joshi,22,Female ,AI Hub,Web Development,Online,7 months,7,3,40,90,No Certification,83,No
Kabir Bhat,22,Male,AI Hub,Ethical Hacking,Online,8 months,8,1,36,86,No Certification,72,No
Aryan Pillai,23,Male ,Tech Academy,Robotics,Offline,6 months,6,2,20,83,IIT Madras Standard Course,65,No
Laksh Verma,25,Male,CodeMasters,Data Science,Online,5 months,6,1,58,94,NASSCOM Certification,95,No
Suman Malhotra,21,Female ,Naresh i technologies,Cloud Computing,Offline,5 months,5,3,60,87,Harvard University Professional Certificate,66,No
Gayatri Tripathi,22,Female ,AI Hub,Data Analytics,Offline,6 months ,6,1,36,82,No Certification,66,No
Yash Nair,24,Female ,CodeMasters,Software Testing,Online,,7,3,24,77,No Certification,77,Yes
Krishna Sharma,24,Male,Tech Academy,Data Analytics,Offline,6 months,6,2,65,80,Harvard University Professional Certificate,99,No
Dev Chopra,24,Male,SocialPrachar,Ethical Hacking,Online,5 months,7,1,26,96,No Certification,70,Yes
Aditya Bhat,25,Female ,AI Hub,Cloud Computing,Offline,6 months,8,1,14,71,AWS Specialization,96,Yes
Om Reddy,23,Female ,AI Hub,Ethical Hacking,Online,7 months,9,1,66,98,No Certification,87,Yes
Yash Gowda,26,Female ,CodeMasters,Web Development,Online,8 months,7,2,74,79,Harvard University Professional Certificate,94,No
Neha Venkatesh,24,Male,CodeMasters,Python Programming,Online,6 months,10,2,90,95,AWS Specialization,63,No
Vikram Kapoor,25,Male ,Tech Academy,Python Programming,Offline,5 months,6,2,35,77,No Certification,71,No
Yash Venkatesh,22,Male,CodeMasters,AI &ML,Offline,5 months,7,3,85,98,Harvard University Professional Certificate,89,No
Tanvi Tripathi,25,Female ,CodeMasters,Cloud Computing,Online,6 months ,7,2,,74,No Certification,96,Yes
Kavya Sharma,26,Female ,AI Hub,Robotics,Online,7 months,7,3,77,91,No Certification,99,Yes
Laksh Iyer,22,Female ,Tech Academy,Robotics,Offline,6 months,8,1,39,71,Harvard University Professional Certificate,84,Yes
Aarav Venkatesh,25,Male,CodeMasters,Cloud Computing,Online,5 months,7,1,65,80,No Certification,63,No
Kunal Sharma,23,Male,Naresh i technologies,Robotics,Online,6 months,10,2,36,95,No Certification,61,No
Dev Venkatesh,22,Female ,CodeMasters,Robotics,Online,7 months,7,1,7,80,AWS Specialization,61,No
Samar Kulkarni,24,Female ,Tech Academy,Cybersecurity,Offline,8 months,10,1,25,81,No Certification,93,No
Tanvi Chopra,25,Female ,CodeMasters,Data Analytics,Online,6 months,5,2,11,98,AWS Specialization,69,No
Meera Verma,22,Male,CodeMasters,Web Development,Offline,5 months,6,2,57,78,No Certification,64,No
Laksh Pandey,22,Male ,SocialPrachar,Data Science,Online,6 months,10,3,89,74,AWS Specialization,100,No
Sanya Joshi,22,Male,CodeMasters,Data Science,Online,5 months,6,1,69,89,No Certification,75,No
Dev Pillai,22,Female ,SocialPrachar,Software Testing,Online,6 months,6,3,44,91,Harvard University Professional Certificate,85,No
Sanya Sharma,22,Female ,Naresh i technologies,AI &ML,Online,7 months,6,3,79,92,No Certification,74,Yes
